"label","feature2","feature8","text_2","feature3","feature7","feature4","feature10","feature9","feature5","feature1","feature6"
"positive",-0.664045903909563,0.978255347372649,"metals",-0.896138379754365,0.629485224390293,-0.408274588980554,-0.914598688843914,0.725096718843218,-0.146913035852761,-0.819315395472852,0.408695120645163
"positive",1.23685305139415,2.07215678311628,"ph",-0.694357212741116,1.27387425699654,-1.30089869531048,0.319004675674336,1.61893218843989,0.908690885535783,-0.155197813729031,0.228554597978288
"positive",-1.55204786184511,0.847357345176814,"ph",-0.118520604618181,1.23970339166835,-0.0548243252328917,-0.325945558557919,-0.0010685141995449,-0.550966127928163,2.59608078739954,0.0332519295666697
"positive",1.18249205403422,-0.460671974635831,"metals",-0.596541848219978,1.22609174130727,-0.483979348305874,-0.741854366767628,0.740010169080677,0.640729131797291,1.23427261482106,1.5837689574115
"negative",0.370805922716129,-0.609925943753973,"ph",-0.630580934155565,0.341838857453018,-1.4071678572413,2.09939177336173,1.19177079901626,0.0134419141783137,0.0656288845838431,1.01277758261588
"negative",0.715413732386868,0.924235714946882,"metals",-0.178476652727433,1.65921630056402,-0.438108632679546,-1.08895427179219,0.691644445287467,-0.743589907159585,-1.0933246110301,0.643674856393765
"positive",0.83240767082827,0.791750518387117,"acid",-1.85630796921544,1.81720194293819,-1.18098773274573,-0.353382443060526,-0.109534561815255,-1.1607906732045,0.550428768662552,-1.25221076594506
"negative",-1.00415274237345,-0.0464749591265766,"ph",2.0339643079713,0.935526507188444,-1.09170966806456,-0.218726440262018,-0.131600024866175,1.05984798298914,-0.262815024754147,-1.14684310870376
"negative",0.584116749942069,-0.54280748344466,"ph",1.66824024558439,0.331553354330236,-0.0424525405203496,0.834163582416718,1.99741011207868,-0.982361099147098,0.979494064187727,1.43349873317586
"positive",-1.96800950684066,-0.0250070351474627,"metals",-0.463069878278348,0.436630133720531,-0.618004006188624,0.400547483555529,1.05663628023235,1.19609516698681,0.495192827022882,1.45753849781229
"positive",0.510844863152785,0.785479910937922,"acid",-0.216664863205333,1.21478524710351,1.00654711416262,-0.808766403920268,0.542211935932681,0.170746713701219,0.339362419209948,-0.992585116567761
"negative",1.01674576398055,0.24972576830496,"ph",-1.12545103987864,0.54112515471241,0.518282851052912,0.682651627890193,-1.04914503924806,-0.678109109713418,-0.222758184462863,0.957584751571903
"positive",-0.974157009651029,1.78655249257867,"acid",0.222540084872889,0.00674826400787137,-0.939880909785684,-0.957975853574682,0.489005491524192,0.0771806915203889,-1.62141239920458,1.43282853235866
"positive",-2.3435497365724,-0.354034072339921,"ph",1.02144301263741,2.37974855341651,0.135125824228219,-0.0982798741908105,1.53385703403055,0.512989687591445,0.672203358509864,-0.190626548391619
"positive",0.571438989951473,0.353802724202053,"acid",0.270245999561382,2.2117974057701,-1.11993061387333,0.789786234747122,1.17170025663618,-0.186259269441314,-0.264183122654004,1.00462764043387
"positive",-0.595227486707487,0.897690653290631,"metals",0.0144492544466807,0.165415647223933,-1.37644446978528,0.762666355055669,0.86707273313715,1.59825946866422,0.839346248041557,0.251263867946143
"negative",0.237437304978009,0.53730127155251,"metals",-1.85024158618346,1.12245942420454,0.215194770496542,0.717715526046366,-0.608958375969234,0.333609134538358,0.0602224124961792,-0.331823486912417
"positive",1.12851048118313,0.379925494088194,"metals",-0.616052088363092,0.0819608783011845,-1.34053537698368,-0.794480486623551,-0.0149245319850067,-0.62245394392516,-0.726353156396327,-1.20332011104675
